Key,Id,Shared Comments,English(en),English(en) Comments,Russian(ru),Russian(ru) Comments
"interaction.unavailable.this_system_cannot_be_controlled_from_the_terminal.",6330507074723840,"","This system cannot be controlled from the terminal.","","Этой системой нельзя управлять с терминала.",""
"loading.status",6525937322549248,"","Loading...","","Загрузка...",""
"loading.tip.station_power",6525937448378368,"","Watch the battery charge: station systems stop working without power.","","Следите за зарядом батареи: без энергии системы станции перестанут работать.",""
"loading.tip.sandstorm",6525937448378369,"","Clean equipment after sandstorms to preserve its efficiency.","","Очищайте оборудование после песчаных бурь, чтобы сохранить его эффективность.",""
"loading.tip.antenna",6525937448378370,"","Upgrade the antenna to detect more distant signals.","","Улучшайте антенну, чтобы обнаруживать более далёкие сигналы.",""
"loading.tip.expedition",6525937448378371,"","Check your gear before an expedition—the return trip may be harder.","","Проверяйте снаряжение перед экспедицией — обратный путь может оказаться сложнее.",""
"notification.weather.storm_started",7685672151277568,"","Sandstorm started","","Песчаная буря началась",""
"notification.weather.storm_ended",7685672205803520,"","Sandstorm ended","","Песчаная буря закончилась",""
"notification.energy.battery_low",7685672205803521,"","Station battery charge fell to {0}%","","Заряд батареи станции упал до {0}%",""
"notification.energy.battery_disabled",7685672209997824,"","Station battery disabled","","Батарея станции отключена",""
"notification.energy.battery_enabled",7685672209997825,"","Station battery enabled","","Батарея станции включена",""
"notification.energy.power_lost",7685672209997826,"","Station power lost","","Станция осталась без питания",""
"notification.energy.power_restored",7685672209997827,"","Station power restored","","Питание станции восстановлено",""
"notification.drone.departed",7685672209997828,"","Drone launched","","Дрон отправлен",""
"notification.drone.returned",7685672209997829,"","Drone returned","","Дрон вернулся",""
"notification.drone.location_discovered",7685672209997830,"","Drone discovered a new location","","Дрон обнаружил новую локацию",""
"notification.drone.no_new_locations",7685672209997831,"","Drone found no new locations","","Дрон не обнаружил новых локаций",""
"notification.antenna.signal_found",7685672209997832,"","Antenna detected a signal","","Антенна обнаружила сигнал",""
"notification.antenna.signal_not_found",7685672209997833,"","Antenna detected no signals","","Антенна не обнаружила сигналов",""
"notification.research.completed",7685672209997834,"","Research completed: {0}","","Исследование завершено: {0}",""
"ui.prefab.p_hud_checkpoint",7685674231652352,"","SAVING...","","СОХРАНЕНИЕ...",""
"ui.prefab.p_hud_canvas_gameplayhudcanvas_interactionprompt_prompttext",7685675393474560,"","[E] Interact","","[E] Взаимодействовать",""
"ui.prefab.p_hud_canvas_gameplayhudcanvas_checkpointindicator",7685675393474561,"","SAVING...","","СОХРАНЕНИЕ...",""
"ui.prefab.p_hud_canvas_modalcanvas_upgradescreen_upgradesbutton_text_upgrade",7685675439611904,"","UPGRADE","","УЛУЧШИТЬ",""
"ui.prefab.p_screen_stationupgrade_upgradesbutton_text_upgrade",7685677503209472,"","UPGRADE","","УЛУЧШИТЬ",""
"ui.mainscene.runtimeroot_hud_canvas_gameplayhudcanvas_checkpointindicator",7685683979214848,"","SAVING...","","СОХРАНЕНИЕ...",""
"ui.mainscene.runtimeroot_hud_canvas_modalcanvas_upgradescreen_upgradesbutton_text_upgrade",7685684025352192,"","UPGRADE","","УЛУЧШИТЬ",""
"ui.mainscene.runtimeroot_hud_canvas_gameplayhudcanvas_interactionprompt_prompttext",7685684025352193,"","[E] Interact","","[E] Взаимодействовать",""
"notification.station.object_disabled",7798071684489216,"","{0} has been disabled","","Объект {0} отключён",""
"notification.station.object_contaminated",7804407331676160,"","{0} is contaminated","","Объект {0} загрязнён",""
