Key,Id,Shared Comments,English(en),English(en) Comments,Russian(ru),Russian(ru) Comments
"ui.mainscene.runtimeroot_hud_canvas_terminalscreen_mapscreen_background_info_move_movenobutton_no_button",8572100608,"","NO","","НЕТ",""
"ui.mainscene.runtimeroot_hud_canvas_laboratoryscreen_mapscreen_antennamapbutton_text_antenna",8572100609,"","ANTENNA","","Антенна",""
"ui.mainscene.runtimeroot_hud_canvas_terminalscreen_mapbutton_text_map",8572100610,"","MAP","","КАРТА",""
"ui.mainscene.runtimeroot_hud_canvas_terminalscreen_mapscreen_dronscreen_launchebutton_launche_upgrade",8580489216,"","LAUNCHE","","ЗАПУСК",""
"ui.mainscene.runtimeroot_hud_canvas_terminalscreen_mapscreen_antennascreen_calibrationbutton_calibration_upgrade",8580489217,"","CALIBRATION","","КАЛИБРОВКА",""
"ui.mainscene.runtimeroot_hud_canvas_terminalscreen_stationscreen_background_info_obj_toggle_onbutton_text_on",8584683520,"","ON","","ВКЛ",""
"ui.mainscene.runtimeroot_hud_canvas_terminalscreen_mapscreen_dronmapbutton_text_dron",8584683521,"","DRON","","ДРОН",""
"station.tab.status",60594576154624,"","STATUS","","СОСТОЯНИЕ",""
"station.status.condition",339100000000003,"","Condition","","Состояние объекта",""
"station.status.installed_parts",339100000000004,"","Installed parts","","Установлено деталей",""
"station.stat.damage",339100000000005,"","Damage","","Урон",""
"station.stat.detectionrange",339100000000006,"","Detection range","","Дальность обнаружения",""
"station.stat.rotationspeed",339100000000007,"","Rotation speed","","Скорость поворота",""
"station.stat.fireinterval",339100000000008,"","Fire interval","","Интервал выстрелов",""
"station.stat.idleenergyconsumption",339100000000009,"","Idle consumption","","Потребление в простое",""
"station.stat.damagetaken",339100000000010,"","Damage taken","","Получаемый урон",""
"station.stat.capacity",339100000000011,"","Capacity","","Ёмкость",""
"station.stat.generation",339100000000012,"","Generation","","Генерация",""
"station.stat.scanrange",339100000000013,"","Scan range","","Дальность сканирования",""
"station.stat.travelrange",339100000000014,"","Travel range","","Дальность полёта",""
"station.stat.firingenergypershot",339100000000015,"","Energy per shot","","Энергия на выстрел",""
"station.stat.initialcharge",339100000000016,"","Initial charge","","Начальный заряд",""
"station.stat.energyconsumption",339100000000017,"","Energy consumption","","Энергопотребление",""
"station.stat.calibrationenergyconsumption",339100000000018,"","Calibration consumption","","Потребление при калибровке",""
"station.stat.calibrationduration",339100000000019,"","Calibration duration","","Длительность калибровки",""
"station.stat.batterycharge",339100000000021,"","Battery capacity","","Ёмкость батареи",""
"station.stat.flightenergyconsumption",339100000000022,"","Flight consumption","","Потребление в полёте",""
"station.stat.backupreserve",339100000000023,"","Backup Reserve","","Резервное питание",""
"station.stat.poweroutput",339100000000024,"","Power Output","","Выходная мощность",""
"station.stat.currentconsumption",339100000000025,"","Current Consumption","","Текущее потребление",""
